,UID,name,rating,brewery,style,abv
0,10,60 Minute IPA,3.87,Dogfish Head Craft Brewery,American IPA,6.00
1,14,90 Minute IPA,4.25,Dogfish Head Craft Brewery,American Imperial IPA,9.00
2,41,AAAlterrr Ego,4.55,Tree House Brewing Company,New England IPA,6.80
3,14,Alpha King,4.5,3 Floyds Brewing Co.,American Pale Ale (APA),6.66
4,9,Barrel-Aged Sump Coffee Stout,4.5,Perennial Artisan Ales,American Imperial Stout,10.50
5,42,Bbbrighttt W/ Galaxy,4.25,Tree House Brewing Company,New England IPA,7.80
6,9,Beer:Barrel:Time,4.75,Side Project Brewing,American Imperial Stout,15.00
7,12,Blanc De Blancs,4.25,Side Project Brewing,Bière de Champagne / Bière Brut,10.00
8,5,Bourbon County Brand Vanilla Stout,9.0,Goose Island Beer Co.,American Imperial Stout,14.90
9,66,Celebrator,4.0,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,German Doppelbock,6.70
10,572,Coffee Shop Vibes - Colombian Duarte,4.54,Shared Brewing,Russian Imperial Stout,13.00
11,14,Dark Lord Imperial Stout,4.25,3 Floyds Brewing Co.,Russian Imperial Stout,15.00
12,572,Derivation Blend #10,4.62,Side Project Brewing,American Imperial Stout,14.00
13,28,Derivation Blend #9 (Cinnamon/Maple),5.0,Side Project Brewing,American Imperial Stout,14.00
14,303,Diamonds in my Mouth,4.25,Spindletap Brewery,New England IPA,8.00
15,14,Double Bastard Ale,4.25,Arrogant Consortia,American Strong Ale,11.00
16,28,Double Sunshine,4.5,Lawson's Finest Liquids,American Imperial IPA,8.00
17,12,Drie Fonteinen Oude Geuze,4.5,Brouwerij 3 Fonteinen,Belgian Gueuze,6.00
18,28,Drie Fonteinen Oude Kriek,4.5,Brouwerij 3 Fonteinen,Belgian Fruit Lambic,6.00
19,20,Duvel Belgian Golden Ale,3.65,Brouwerij Duvel Moortgat NV,Belgian Strong Pale Ale,8.50
20,36,Expedition Stout,4.22,Bell's Brewery - Eccentric Café & General Store,Russian Imperial Stout,10.50
21,12,Expedition Stout - Bourbon Barrel-Aged,4.5,Bell's Brewery - Eccentric Café & General Store,Russian Imperial Stout,13.40
22,9,Ghost In The Machine - Double Dry-Hopped,4.73,Parish Brewing Company,New England IPA,8.00
23,27,Goshawk's Territory,4.79,Horus Aged Ales,American Imperial Stout,13.20
24,4,Grande Réserve (Blue),8.26,Bières de Chimay,Belgian Strong Dark Ale,9.00
25,9,Hold On To Sunshine,4.53,Tree House Brewing Company,English Sweet / Milk Stout,7.60
26,9,Impermanence,4.85,Tree House Brewing Company,English Sweet / Milk Stout,9.00
27,5,JJJuliusss,8.56,Tree House Brewing Company,New England IPA,6.80
28,9,La Fin Du Monde,4.29,Unibroue,Belgian Tripel,9.00
29,33,La Folie,4.15,New Belgium Brewing,Flanders Oud Bruin,7.00
30,28,No Rules,4.25,Perrin Brewing Co.,American Imperial Porter,15.00
31,36,Oude Gueuze,4.13,Hanssens Artisanaal bvba,Belgian Gueuze,6.00
32,100,Peche Du Fermier,4.71,Side Project Brewing,Belgian Saison,8.00
33,466,Pulling Nails Blend #8,4.24,Side Project Brewing,Belgian Saison,7.00
34,12,Rye Hipster Brunch Stout,4.5,Odd Side Ales,American Imperial Stout,11.00
35,9,Sang Noir,4.55,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.30
36,12,"Somewhere, Something Incredible Is Waiting To Be Known",4.5,Tree House Brewing Company,English Sweet / Milk Stout,7.90
37,12,Sosus,4.71,Toppling Goliath Brewing Company,New England IPA,8.00
38,52,Trappist Westvleteren 12 (XII),4.34,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgian Quadrupel (Quad),10.20
39,9,Trillium / J. Wakefield - Vanilla Truffle,4.55,Trillium Brewing Company,American Imperial Stout,12.70
40,27,Tweak,4.83,Avery Brewing Company,American Imperial Stout,16.00
41,10,Two Hearted Ale,4.31,Bell's Brewery - Eccentric Café & General Store,American IPA,7.00
42,14,Union Jack IPA,4.0,Firestone Walker Brewing Co.,American IPA,7.00
43,9,Vanilla Bean Abraxas,4.43,Perennial Artisan Ales,American Imperial Stout,10.00
44,78,Wisconsin Belgian Red,4.22,New Glarus Brewing Company,Fruit and Field Beer,4.00
45,9,A Night To End All Dawns,4.9,Kane Brewing Company,American Imperial Stout,12.20
46,9,Abricot Du Fermier,4.53,Side Project Brewing,Belgian Saison,8.00
47,44,Abt 12,3.87,Brouwerij St. Bernardus NV,Belgian Quadrupel (Quad),10.00
48,9,Anabasis,4.31,Side Project Brewing,American Barleywine,14.00
49,27,Apple Brandy Barrel Noir,4.25,Prairie Artisan Ales,American Imperial Stout,12.00
50,14,BDCS,4.58,Ozark Beer Co.,American Imperial Stout,10.20
51,27,Barrel Aged Bomb!,4.66,Prairie Artisan Ales,American Imperial Stout,11.20
52,214,Barrel Aged Christmas Bomb!,4.65,Prairie Artisan Ales,American Imperial Stout,13.00
53,245,Birth Of Tragedy,4.0,Hill Farmstead Brewery,American Imperial Porter,9.00
54,9,Black Note Stout,4.29,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout,11.20
55,8,Bodhi,4.51,Columbus Brewing Company,American Imperial IPA,8.50
56,36,Bourbon Barrel Aged Plead The 5th,4.24,Dark Horse Brewing Company,Russian Imperial Stout,12.00
57,85,Bourbon Barrel Black Maple,4.73,Jackie O's Pub & Brewery,American Imperial Porter,11.00
58,14,Buxton / Omnipollo - Yellow Belly,4.0,Buxton Brewery,American Imperial Stout,11.00
59,14,Cantillon Lou Pepe - Gueuze,5.0,Brasserie Cantillon,Belgian Gueuze,5.00
60,9,Coffee Abraxas,4.94,Perennial Artisan Ales,American Imperial Stout,10.00
61,27,Cutting Tiles (Mosaic),4.25,Trillium Brewing Company,New England IPA,8.50
62,12,Doppelganger,4.5,Tree House Brewing Company,New England IPA,8.20
63,14,Double Dry Hopped Congress Street,4.5,Trillium Brewing Company,New England IPA,7.20
64,27,Double Dry Hopped Fort Point Pale Ale,4.57,Trillium Brewing Company,American Pale Ale (APA),6.60
65,12,Double Dry Hopped Melcher Street,4.5,Trillium Brewing Company,New England IPA,7.20
66,12,Double Stack,4.75,Great Notion Brewing,American Imperial Stout,11.00
67,12,Doubleganger,4.75,Tree House Brewing Company,New England IPA,8.20
68,12,Drie Fonteinen Oude Geuze Vintage,4.75,Brouwerij 3 Fonteinen,Belgian Gueuze,6.00
69,12,Foggier Window,4.5,Monkish Brewing Co.,New England IPA,8.10
70,28,Framboise Du Fermier,4.25,Side Project Brewing,Belgian Saison,8.00
71,27,Fundamental Observation,5.0,Bottle Logic Brewing,American Imperial Stout,14.30
72,9,Ghost In The Machine,4.93,Parish Brewing Company,New England IPA,8.00
73,12,Ground State,4.5,Bottle Logic Brewing,American Imperial Stout,13.40
74,9,Headroom,4.63,Trillium Brewing Company,New England IPA,8.00
75,109,Imperial Biscotti Break - Bourbon Barrel-Aged,4.64,Evil Twin Brewing,American Imperial Stout,11.50
76,27,In Perpetuity,4.41,Tree House Brewing Company,New England IPA,6.70
77,9,Jam The Radar,4.53,Bottle Logic Brewing,American Imperial Stout,13.70
78,238,La Fosse,4.41,Side Project Brewing,American Wild Ale,8.00
79,9,Maman,5.0,Perennial Artisan Ales,American Imperial Stout,11.50
80,52,Mocha Wednesday,3.86,The Bruery,American Imperial Stout,19.90
81,27,Pirate Bomb!,4.31,Prairie Artisan Ales,American Imperial Stout,15.00
82,44,Pseudo Sue,4.39,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20
83,9,Red Eye November,4.35,Bottle Logic Brewing,Russian Imperial Stout,13.20
84,41,Saison Du Fermier,4.6,Side Project Brewing,Belgian Saison,7.00
85,14,Scaled Up,4.25,Trillium Brewing Company,New England IPA,8.00
86,12,Swish,4.75,Bissell Brothers Brewing Co.,New England IPA,8.00
87,12,Trickery,4.5,Hardywood Park Craft Brewery,English Sweet / Milk Stout,13.50
88,9,Trillium / J. Wakefield - Affogato,4.25,Trillium Brewing Company,American Imperial Stout,13.30
89,27,Very Green,4.89,Tree House Brewing Company,New England IPA,8.60
90,27,Very Hazy,4.88,Tree House Brewing Company,New England IPA,8.60
91,33,Wide Awake It's Morning,4.71,Funky Buddha Brewery,American Imperial Porter,10.00
92,266,Andy and Fred's Excellent Adventure Vol. 1,4.0,Hoppin' Frog Brewery,Baltic Porter,12.70
