UID,beer_name,rating
9,4th Anniversary,4.85
43,4th Anniversary,3.37
71,4th Anniversary,4.25
208,4th Anniversary,4.34
299,4th Anniversary,5.0
320,4th Anniversary,4.67
479,4th Anniversary,4.23
483,4th Anniversary,5.0
517,4th Anniversary,4.56
539,4th Anniversary,4.48
607,4th Anniversary,4.7
699,4th Anniversary,4.49
706,4th Anniversary,4.52
751,4th Anniversary,4.5
772,4th Anniversary,4.35
781,4th Anniversary,4.5
992,4th Anniversary,4.19
1011,4th Anniversary,4.69
1024,4th Anniversary,4.77
1037,4th Anniversary,3.59
1062,4th Anniversary,4.0
10,60 Minute IPA,3.87
24,60 Minute IPA,4.13
38,60 Minute IPA,2.86
58,60 Minute IPA,3.89
68,60 Minute IPA,4.19
89,60 Minute IPA,4.4
98,60 Minute IPA,3.79
114,60 Minute IPA,5.0
137,60 Minute IPA,4.5
141,60 Minute IPA,4.02
142,60 Minute IPA,4.24
186,60 Minute IPA,3.9
187,60 Minute IPA,4.0
204,60 Minute IPA,4.12
218,60 Minute IPA,4.33
230,60 Minute IPA,4.0
242,60 Minute IPA,3.9
249,60 Minute IPA,3.86
265,60 Minute IPA,4.57
276,60 Minute IPA,4.67
297,60 Minute IPA,4.4
299,60 Minute IPA,3.3
352,60 Minute IPA,4.05
360,60 Minute IPA,4.71
365,60 Minute IPA,4.34
399,60 Minute IPA,3.56
450,60 Minute IPA,4.59
451,60 Minute IPA,4.58
459,60 Minute IPA,4.1
463,60 Minute IPA,3.85
468,60 Minute IPA,4.03
554,60 Minute IPA,3.24
559,60 Minute IPA,4.12
570,60 Minute IPA,3.77
575,60 Minute IPA,4.51
588,60 Minute IPA,3.41
601,60 Minute IPA,4.06
606,60 Minute IPA,4.0
607,60 Minute IPA,4.0
632,60 Minute IPA,4.0
639,60 Minute IPA,4.25
670,60 Minute IPA,4.04
692,60 Minute IPA,3.64
694,60 Minute IPA,4.15
701,60 Minute IPA,4.11
743,60 Minute IPA,3.75
744,60 Minute IPA,4.35
833,60 Minute IPA,4.0
841,60 Minute IPA,3.0
861,60 Minute IPA,4.06
881,60 Minute IPA,4.5
892,60 Minute IPA,3.75
903,60 Minute IPA,3.0
905,60 Minute IPA,3.75
923,60 Minute IPA,3.28
949,60 Minute IPA,3.87
960,60 Minute IPA,4.45
1023,60 Minute IPA,3.77
1088,60 Minute IPA,3.5
1091,60 Minute IPA,3.5
1106,60 Minute IPA,3.41
1117,60 Minute IPA,4.1
14,90 Minute IPA,4.25
19,90 Minute IPA,4.5
24,90 Minute IPA,4.29
38,90 Minute IPA,4.4
41,90 Minute IPA,4.23
109,90 Minute IPA,4.25
111,90 Minute IPA,4.46
114,90 Minute IPA,5.0
137,90 Minute IPA,5.0
142,90 Minute IPA,4.58
164,90 Minute IPA,3.99
168,90 Minute IPA,4.04
185,90 Minute IPA,4.0
186,90 Minute IPA,4.1
206,90 Minute IPA,4.25
218,90 Minute IPA,4.53
223,90 Minute IPA,4.88
230,90 Minute IPA,4.27
239,90 Minute IPA,3.9
242,90 Minute IPA,3.76
256,90 Minute IPA,4.5
265,90 Minute IPA,3.7
291,90 Minute IPA,3.91
297,90 Minute IPA,3.95
299,90 Minute IPA,3.8
312,90 Minute IPA,4.7
337,90 Minute IPA,4.43
354,90 Minute IPA,4.22
360,90 Minute IPA,4.5
361,90 Minute IPA,4.25
365,90 Minute IPA,5.0
373,90 Minute IPA,3.0
387,90 Minute IPA,3.0
389,90 Minute IPA,4.1
394,90 Minute IPA,4.59
411,90 Minute IPA,4.84
414,90 Minute IPA,4.66
435,90 Minute IPA,4.34
450,90 Minute IPA,4.5
465,90 Minute IPA,4.0
491,90 Minute IPA,4.84
522,90 Minute IPA,1.0
528,90 Minute IPA,9.4
549,90 Minute IPA,2.58
552,90 Minute IPA,4.18
554,90 Minute IPA,4.29
560,90 Minute IPA,3.99
570,90 Minute IPA,4.0
580,90 Minute IPA,4.38
593,90 Minute IPA,3.68
601,90 Minute IPA,4.56
606,90 Minute IPA,4.5
607,90 Minute IPA,4.0
670,90 Minute IPA,3.59
692,90 Minute IPA,3.97
694,90 Minute IPA,4.28
702,90 Minute IPA,4.87
713,90 Minute IPA,4.38
718,90 Minute IPA,4.38
732,90 Minute IPA,4.24
744,90 Minute IPA,4.75
754,90 Minute IPA,4.06
782,90 Minute IPA,4.31
802,90 Minute IPA,4.17
833,90 Minute IPA,4.21
839,90 Minute IPA,3.88
841,90 Minute IPA,3.49
847,90 Minute IPA,3.52
881,90 Minute IPA,4.39
885,90 Minute IPA,3.54
